Distro's name: Ubuntu, Website: ubuntu.com, Based: Debian
Distro's name: Linux Mint, Website: linuxmint.com, Based: Ubuntu
Distro's name: Debian, Website: debian.org, Based: Independent
Distro's name: Fedora, Website: fedoraproject.org, Based: Independent (historically Red Hat Linux)
Distro's name: Arch Linux, Website: archlinux.org, Based: Independent
Distro's name: Manjaro, Website: manjaro.org, Based: Arch Linux
Distro's name: openSUSE Leap, Website: opensuse.org, Based: Independent (SUSE)
Distro's name: openSUSE Tumbleweed, Website: opensuse.org, Based: Independent (SUSE)
Distro's name: CentOS Stream, Website: centos.org, Based: Fedora (RHEL upstream)
Distro's name: Rocky Linux, Website: rockylinux.org, Based: RHEL
Distro's name: AlmaLinux, Website: almalinux.org, Based: RHEL
Distro's name: Kali Linux, Website: kali.org, Based: Debian
Distro's name: Pop!_OS, Website: pop.system76.com, Based: Ubuntu
Distro's name: Zorin OS, Website: zorinos.com, Based: Ubuntu
Distro's name: MX Linux, Website: mxlinux.org, Based: Debian
Distro's name: Elementary OS, Website: elementary.io, Based: Ubuntu
Distro's name: Gentoo Linux, Website: gentoo.org, Based: Independent
Distro's name: Slackware, Website: slackware.com, Based: Independent
Distro's name: Kubuntu, Website: kubuntu.org, Based: Ubuntu
Distro's name: Lubuntu, Website: lubuntu.me, Based: Ubuntu
Distro's name: Xubuntu, Website: xubuntu.org, Based: Ubuntu
Distro's name: Ubuntu MATE, Website: ubuntu-mate.org, Based: Ubuntu
Distro's name: Ubuntu Budgie, Website: ubuntubudgie.org, Based: Ubuntu
Distro's name: KDE neon, Website: neon.kde.org, Based: Ubuntu
Distro's name: Solus, Website: getsol.us, Based: Independent
Distro's name: Void Linux, Website: voidlinux.org, Based: Independent
Distro's name: NixOS, Website: nixos.org, Based: Independent
Distro's name: Alpine Linux, Website: alpinelinux.org, Based: Independent (musl, BusyBox)
Distro's name: Puppy Linux, Website: puppylinux.com, Based: Independent
Distro's name: AntiX Linux, Website: antixlinux.com, Based: Debian
Distro's name: SparkyLinux, Website: sparkylinux.org, Based: Debian
Distro's name: Devuan, Website: devuan.org, Based: Debian (systemd-free)
Distro's name: Q4OS, Website: q4os.org, Based: Debian
Distro's name: Raspberry Pi OS, Website: raspberrypi.com, Based: Debian
Distro's name: EndeavourOS, Website: endeavouros.com, Based: Arch Linux
Distro's name: Garuda Linux, Website: garudalinux.org, Based: Arch Linux
Distro's name: Artix Linux, Website: artixlinux.org, Based: Arch Linux (systemd-free)
Distro's name: Clear Linux OS, Website: clearlinux.org, Based: Independent (Intel)
Distro's name: Oracle Linux, Website: oracle.com, Based: RHEL
Distro's name: Mageia, Website: mageia.org, Based: Mandriva (fork)
Distro's name: PCLinuxOS, Website: pclinuxos.com, Based: Mandriva (Mandrake)
Distro's name: OpenMandriva Lx, Website: openmandriva.org, Based: Mandriva (fork)
Distro's name: ROSA Linux, Website: rosalinux.ru, Based: Mandriva (fork)
Distro's name: Red Hat Enterprise Linux (RHEL), Website: redhat.com, Based: Independent (Fedora upstream)
Distro's name: SUSE Linux Enterprise Server (SLES), Website: suse.com, Based: Independent (openSUSE is related)
Distro's name: Deepin, Website: deepin.org, Based: Debian
Distro's name: Tails, Website: tails.net, Based: Debian
Distro's name: Qubes OS, Website: qubes-os.org, Based: Fedora
Distro's name: Whonix, Website: whonix.org, Based: Debian
Distro's name: Parrot OS, Website: parrotsec.org, Based: Debian
